2018-06-28 12:35:17,635 [  53834]   INFO - .diagnostic.PerformanceWatcher - Unindexed files update took 1801ms; general responsiveness: ok; EDT responsiveness: ok 
2018-06-28 12:35:17,639 [  53838]   INFO - penapi.project.DumbServiceImpl - updateFinished 
2018-06-28 12:35:17,640 [  53839]   INFO - g.FileBasedIndexProjectHandler - Has changed files: false; project=Project 'C:\Users\etenphi\IdeaProjects\untitled2' untitled2 
2018-06-28 12:35:17,798 [  53997]   INFO - tartup.impl.StartupManagerImpl - Some post-startup activities freeze UI for noticeable time. Please consider making them DumbAware to do them in background under modal progress, or just making them faster to speed up project opening. 
2018-06-28 12:35:17,798 [  53997]   INFO - tartup.impl.StartupManagerImpl - ProjectInspectionProfileStartUpActivity run in 153ms on UI thread 
2018-06-28 12:35:17,857 [  54056]   INFO - CompilerWorkspaceConfiguration - Available processors: 4 
2018-06-28 12:35:17,962 [  54161]   INFO - j.ide.plugins.RepositoryHelper - using cached plugin list (updated at 2018-06-28 12:34) 
2018-06-28 12:35:18,342 [  54541]   INFO - j.ide.ui.OptionsTopHitProvider - 309 ms spent to cache options in project 
2018-06-28 12:35:18,363 [  54562]   INFO - penapi.project.DumbServiceImpl - Running dumb mode task: com.android.tools.idea.res.ResourceFolderRepositoryFileCacheImpl$PruneTask@713e2c5a 
2018-06-28 12:35:18,432 [  54631]   INFO - penapi.project.DumbServiceImpl - Running dumb mode task: com.android.tools.idea.res.ResourceFolderRepositoryFileCacheImpl$ManageLruProjectFilesTask@28c0620a 
2018-06-28 12:35:18,509 [  54708]   INFO - penapi.project.DumbServiceImpl - updateFinished 
2018-06-28 12:35:18,510 [  54709]   INFO - g.FileBasedIndexProjectHandler - Has changed files: false; project=Project 'C:\Users\etenphi\IdeaProjects\untitled2' untitled2 
2018-06-28 12:35:18,551 [  54750]   INFO - penapi.project.DumbServiceImpl - Running dumb mode task: com.android.tools.idea.res.ResourceFolderRegistry$PopulateCachesTask@4589c4b6 
2018-06-28 12:35:18,553 [  54752]   INFO - penapi.project.DumbServiceImpl - updateFinished 
2018-06-28 12:35:18,554 [  54753]   INFO - g.FileBasedIndexProjectHandler - Has changed files: false; project=Project 'C:\Users\etenphi\IdeaProjects\untitled2' untitled2 
2018-06-28 12:35:35,106 [  71305]   INFO - rojectCodeStyleSettingsManager - Initialized from default code style settings. 
2018-06-28 12:35:37,044 [  73243]   INFO -       ScriptTemplatesProviders - [kts] loading script definitions [] using cp:  
2018-06-28 12:36:31,369 [ 127568]  ERROR - .impl.MessageBusConnectionImpl - null 
java.lang.NullPointerException
	at testdoxon.listener.EditorFileChangedListener.selectionChanged(EditorFileChangedListener.java:35)
	at sun.reflect.GeneratedMethodAccessor75.invoke(Unknown Source)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.lang.reflect.Method.invoke(Method.java:498)
	at com.intellij.util.messages.impl.MessageBusConnectionImpl.deliverMessage(MessageBusConnectionImpl.java:117)
	at com.intellij.util.messages.impl.MessageBusImpl.doPumpMessages(MessageBusImpl.java:426)
	at com.intellij.util.messages.impl.MessageBusImpl.pumpWaitingBuses(MessageBusImpl.java:387)
	at com.intellij.util.messages.impl.MessageBusImpl.pumpMessages(MessageBusImpl.java:376)
	at com.intellij.util.messages.impl.MessageBusImpl.pumpMessages(MessageBusImpl.java:364)
	at com.intellij.util.messages.impl.MessageBusImpl.sendMessage(MessageBusImpl.java:357)
	at com.intellij.util.messages.impl.MessageBusImpl.access$200(MessageBusImpl.java:43)
	at com.intellij.util.messages.impl.MessageBusImpl$2.invoke(MessageBusImpl.java:208)
	at com.sun.proxy.$Proxy145.selectionChanged(Unknown Source)
	at com.intellij.openapi.fileEditor.impl.FileEditorManagerImpl.lambda$fireSelectionChanged$16(FileEditorManagerImpl.java:1555)
	at com.intellij.openapi.fileEditor.impl.FileEditorManagerImpl$5$1.run(FileEditorManagerImpl.java:1019)
	at com.intellij.openapi.wm.impl.FocusManagerImpl.lambda$doWhenFocusSettlesDown$2(FocusManagerImpl.java:199)
	at com.intellij.util.ui.UIUtil.invokeLaterIfNeeded(UIUtil.java:2886)
	at com.intellij.ide.IdeEventQueue.ifFocusEventsInTheQueue(IdeEventQueue.java:173)
	at com.intellij.ide.IdeEventQueue.executeWhenAllFocusEventsLeftTheQueue(IdeEventQueue.java:132)
	at com.intellij.openapi.wm.impl.FocusManagerImpl.doWhenFocusSettlesDown(FocusManagerImpl.java:190)
	at com.intellij.openapi.wm.impl.FocusManagerImpl.doWhenFocusSettlesDown(FocusManagerImpl.java:196)
	at com.intellij.openapi.fileEditor.impl.FileEditorManagerImpl$5.run(FileEditorManagerImpl.java:1016)
	at com.intellij.openapi.util.BusyObject$Impl$Simple.execute(BusyObject.java:108)
	at com.intellij.openapi.fileEditor.impl.FileEditorManagerImpl.notifyPublisher(FileEditorManagerImpl.java:1012)
	at com.intellij.openapi.fileEditor.impl.FileEditorManagerImpl.fireSelectionChanged(FileEditorManagerImpl.java:1555)
	at com.intellij.openapi.fileEditor.impl.EditorsSplitters.lambda$setCurrentWindow$3(EditorsSplitters.java:611)
	at com.intellij.openapi.fileEditor.impl.EditorsSplitters.setCurrentWindow(EditorsSplitters.java:627)
	at com.intellij.openapi.fileEditor.impl.FileEditorManagerImpl.setCurrentWindow(FileEditorManagerImpl.java:596)
	at com.intellij.openapi.fileEditor.impl.FileEditorManagerImpl.disposeComposite(FileEditorManagerImpl.java:1588)
	at com.intellij.openapi.fileEditor.impl.EditorWindow.lambda$closeFile$1(EditorWindow.java:237)
	at com.intellij.openapi.fileEditor.impl.FileEditorManagerImpl.runChange(FileEditorManagerImpl.java:1639)
	at com.intellij.openapi.fileEditor.impl.EditorWindow.closeFile(EditorWindow.java:216)
	at com.intellij.openapi.fileEditor.impl.EditorsSplitters.closeFile(EditorsSplitters.java:519)
	at com.intellij.openapi.fileEditor.impl.FileEditorManagerImpl.lambda$closeFileImpl$3(FileEditorManagerImpl.java:632)
	at com.intellij.openapi.fileEditor.impl.FileEditorManagerImpl.runChange(FileEditorManagerImpl.java:1639)
	at com.intellij.openapi.fileEditor.impl.FileEditorManagerImpl.closeFileImpl(FileEditorManagerImpl.java:632)
	at com.intellij.openapi.fileEditor.impl.FileEditorManagerImpl.lambda$closeFile$2(FileEditorManagerImpl.java:626)
	at com.intellij.openapi.command.impl.CoreCommandProcessor.executeCommand(CoreCommandProcessor.java:129)
	at com.intellij.openapi.command.impl.CoreCommandProcessor.executeCommand(CoreCommandProcessor.java:95)
	at com.intellij.openapi.command.impl.CoreCommandProcessor.executeCommand(CoreCommandProcessor.java:85)
	at com.intellij.openapi.command.impl.CoreCommandProcessor.executeCommand(CoreCommandProcessor.java:71)
	at com.intellij.openapi.fileEditor.impl.FileEditorManagerImpl.closeFile(FileEditorManagerImpl.java:626)
	at com.intellij.openapi.fileEditor.impl.FileEditorManagerImpl.closeFile(FileEditorManagerImpl.java:620)
	at com.intellij.openapi.fileEditor.impl.FileEditorManagerImpl.closeAllFiles(FileEditorManagerImpl.java:1896)
	at com.intellij.openapi.fileEditor.impl.FileEditorManagerImpl$3.projectClosed(FileEditorManagerImpl.java:168)
